,xmin,ymin
1,-904702,-1211710
2,-904702,-1203518
3,-904702,-1195326
4,-904702,-1187134
5,-904702,-1178942
6,-904702,-1170750
7,-904702,-1162558
8,-904702,-1154366
9,-904702,-1146174
10,-904702,-1137982
11,-904702,-1129790
12,-904702,-1121598
13,-904702,-1113406
14,-904702,-1105214
15,-904702,-1097022
16,-904702,-1088830
17,-904702,-1080638
18,-904702,-1072446
19,-904702,-1064254
20,-904702,-1056062
21,-904702,-1047870
22,-904702,-1039678
23,-904702,-1031486
24,-904702,-1023294
25,-904702,-1015102
26,-904702,-1006910
27,-904702,-998718
28,-904702,-990526
29,-904702,-982334
30,-904702,-974142
31,-904702,-965950
32,-904702,-957758
33,-904702,-949566
34,-904702,-941374
35,-896510,-1211710
36,-896510,-1203518
37,-896510,-1195326
38,-896510,-1187134
39,-896510,-1178942
40,-896510,-1170750
41,-896510,-1162558
42,-896510,-1154366
43,-896510,-1146174
44,-896510,-1137982
45,-896510,-1129790
46,-896510,-1121598
47,-896510,-1113406
48,-896510,-1105214
49,-896510,-1097022
50,-896510,-1088830
51,-896510,-1080638
52,-896510,-1072446
53,-896510,-1064254
54,-896510,-1056062
55,-896510,-1047870
56,-896510,-1039678
57,-896510,-1031486
58,-896510,-1023294
59,-896510,-1015102
60,-896510,-1006910
61,-896510,-998718
62,-896510,-990526
63,-896510,-982334
64,-896510,-974142
65,-896510,-965950
66,-896510,-957758
67,-896510,-949566
68,-896510,-941374
69,-888318,-1211710
70,-888318,-1203518
71,-888318,-1195326
72,-888318,-1187134
73,-888318,-1178942
74,-888318,-1170750
75,-888318,-1162558
76,-888318,-1154366
77,-888318,-1146174
78,-888318,-1137982
79,-888318,-1129790
80,-888318,-1121598
81,-888318,-1113406
82,-888318,-1105214
83,-888318,-1097022
84,-888318,-1088830
85,-888318,-1080638
86,-888318,-1072446
87,-888318,-1064254
88,-888318,-1056062
89,-888318,-1047870
90,-888318,-1039678
91,-888318,-1031486
92,-888318,-1023294
93,-888318,-1015102
94,-888318,-1006910
95,-888318,-998718
96,-888318,-990526
97,-888318,-982334
98,-888318,-974142
99,-888318,-965950
100,-888318,-957758
101,-888318,-949566
102,-888318,-941374
103,-880126,-1211710
104,-880126,-1203518
105,-880126,-1195326
106,-880126,-1187134
107,-880126,-1178942
108,-880126,-1170750
109,-880126,-1162558
110,-880126,-1154366
111,-880126,-1146174
112,-880126,-1137982
113,-880126,-1129790
114,-880126,-1121598
115,-880126,-1113406
116,-880126,-1105214
117,-880126,-1097022
118,-880126,-1088830
119,-880126,-1080638
120,-880126,-1072446
121,-880126,-1064254
122,-880126,-1056062
123,-880126,-1047870
124,-880126,-1039678
125,-880126,-1031486
126,-880126,-1023294
127,-880126,-1015102
128,-880126,-1006910
129,-880126,-998718
130,-880126,-990526
131,-880126,-982334
132,-880126,-974142
133,-880126,-965950
134,-880126,-957758
135,-880126,-949566
136,-880126,-941374
137,-871934,-1211710
138,-871934,-1203518
139,-871934,-1195326
140,-871934,-1187134
141,-871934,-1178942
142,-871934,-1170750
143,-871934,-1162558
144,-871934,-1154366
145,-871934,-1146174
146,-871934,-1137982
147,-871934,-1129790
148,-871934,-1121598
149,-871934,-1113406
150,-871934,-1105214
151,-871934,-1097022
152,-871934,-1088830
153,-871934,-1080638
154,-871934,-1072446
155,-871934,-1064254
156,-871934,-1056062
157,-871934,-1047870
158,-871934,-1039678
159,-871934,-1031486
160,-871934,-1023294
161,-871934,-1015102
162,-871934,-1006910
163,-871934,-998718
164,-871934,-990526
165,-871934,-982334
166,-871934,-974142
167,-871934,-965950
168,-871934,-957758
169,-871934,-949566
170,-871934,-941374
171,-863742,-1211710
172,-863742,-1203518
173,-863742,-1195326
174,-863742,-1187134
175,-863742,-1178942
176,-863742,-1170750
177,-863742,-1162558
178,-863742,-1154366
179,-863742,-1146174
180,-863742,-1137982
181,-863742,-1129790
182,-863742,-1121598
183,-863742,-1113406
184,-863742,-1105214
185,-863742,-1097022
186,-863742,-1088830
187,-863742,-1080638
188,-863742,-1072446
189,-863742,-1064254
190,-863742,-1056062
191,-863742,-1047870
192,-863742,-1039678
193,-863742,-1031486
194,-863742,-1023294
195,-863742,-1015102
196,-863742,-1006910
197,-863742,-998718
198,-863742,-990526
199,-863742,-982334
200,-863742,-974142
201,-863742,-965950
202,-863742,-957758
203,-863742,-949566
204,-863742,-941374
205,-855550,-1211710
206,-855550,-1203518
207,-855550,-1195326
208,-855550,-1187134
209,-855550,-1178942
210,-855550,-1170750
211,-855550,-1162558
212,-855550,-1154366
213,-855550,-1146174
214,-855550,-1137982
215,-855550,-1129790
216,-855550,-1121598
217,-855550,-1113406
218,-855550,-1105214
219,-855550,-1097022
220,-855550,-1088830
221,-855550,-1080638
222,-855550,-1072446
223,-855550,-1064254
224,-855550,-1056062
225,-855550,-1047870
226,-855550,-1039678
227,-855550,-1031486
228,-855550,-1023294
229,-855550,-1015102
230,-855550,-1006910
231,-855550,-998718
232,-855550,-990526
233,-855550,-982334
234,-855550,-974142
235,-855550,-965950
236,-855550,-957758
237,-855550,-949566
238,-855550,-941374
239,-847358,-1211710
240,-847358,-1203518
241,-847358,-1195326
242,-847358,-1187134
243,-847358,-1178942
244,-847358,-1170750
245,-847358,-1162558
246,-847358,-1154366
247,-847358,-1146174
248,-847358,-1137982
249,-847358,-1129790
250,-847358,-1121598
251,-847358,-1113406
252,-847358,-1105214
253,-847358,-1097022
254,-847358,-1088830
255,-847358,-1080638
256,-847358,-1072446
257,-847358,-1064254
258,-847358,-1056062
259,-847358,-1047870
260,-847358,-1039678
261,-847358,-1031486
262,-847358,-1023294
263,-847358,-1015102
264,-847358,-1006910
265,-847358,-998718
266,-847358,-990526
267,-847358,-982334
268,-847358,-974142
269,-847358,-965950
270,-847358,-957758
271,-847358,-949566
272,-847358,-941374
273,-839166,-1211710
274,-839166,-1203518
275,-839166,-1195326
276,-839166,-1187134
277,-839166,-1178942
278,-839166,-1170750
279,-839166,-1162558
280,-839166,-1154366
281,-839166,-1146174
282,-839166,-1137982
283,-839166,-1129790
284,-839166,-1121598
285,-839166,-1113406
286,-839166,-1105214
287,-839166,-1097022
288,-839166,-1088830
289,-839166,-1080638
290,-839166,-1072446
291,-839166,-1064254
292,-839166,-1056062
293,-839166,-1047870
294,-839166,-1039678
295,-839166,-1031486
296,-839166,-1023294
297,-839166,-1015102
298,-839166,-1006910
299,-839166,-998718
300,-839166,-990526
301,-839166,-982334
302,-839166,-974142
303,-839166,-965950
304,-839166,-957758
305,-839166,-949566
306,-839166,-941374
307,-830974,-1211710
308,-830974,-1203518
